0,1,2,3,4,5,6,7,8,9,10,11
Batter,Pitcher,AB,H,2B,3B,HR,BB,SO,AVG,OBP,SLG
CJ Abrams,Hunter Greene,1,0,0,0,0,2,1,.000,.667,.000
James Wood,Hunter Greene,0,0,0,0,0,0,0,.000,.000,.000
Nathaniel Lowe,Hunter Greene,3,0,0,0,0,0,2,.000,.000,.000
Keibert Ruiz,Hunter Greene,2,2,0,0,0,0,0,1.000,1.000,1.000
Luis Garcia,Hunter Greene,2,0,0,0,0,0,1,.000,.000,.000
Josh Bell,Hunter Greene,0,0,0,0,0,0,0,.000,.000,.000
Dylan Crews,Hunter Greene,0,0,0,0,0,0,0,.000,.000,.000
Jose Tena,Hunter Greene,0,0,0,0,0,0,0,.000,.000,.000
Jacob Young,Hunter Greene,0,0,0,0,0,0,0,.000,.000,.000
TJ Friedl,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Matt McLain,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Elly De La Cruz,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Noelvi Marte,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Santiago Espinal,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Spencer Steer,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Tyler Stephenson,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Jose Trevino,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Blake Dunn,Mitchell Parker,0,0,0,0,0,0,0,.000,.000,.000
Fernando Tatis,Mitch Keller,3,1,0,0,0,0,1,.333,.333,.333
Luis Arraez,Mitch Keller,9,3,1,0,0,0,1,.333,.333,.444
Manny Machado,Mitch Keller,11,3,0,0,1,3,4,.273,.429,.545
Gavin Sheets,Mitch Keller,1,0,0,0,0,1,0,.000,.500,.000
Xander Bogaerts,Mitch Keller,6,1,0,0,0,0,0,.167,.167,.167
Jose Iglesias,Mitch Keller,13,3,0,0,1,0,3,.231,.231,.462
Tyler Wade,Mitch Keller,2,1,0,0,0,0,0,.500,.500,.500
Jason Heyward,Mitch Keller,20,6,3,0,1,0,2,.300,.300,.600
Martin Maldonado,Mitch Keller,2,0,0,0,0,0,0,.000,.000,.000
Oneil Cruz,Dylan Cease,0,0,0,0,0,0,0,.000,.000,.000
Bryan Reynolds,Dylan Cease,6,1,0,0,0,0,1,.167,.167,.167
Andrew McCutchen,Dylan Cease,1,0,0,0,0,0,0,.000,.000,.000
Enmanuel Valdez,Dylan Cease,3,1,1,0,0,0,0,.333,.333,.667
Joey Bart,Dylan Cease,1,0,0,0,0,0,1,.000,.000,.000
Ke'Bryan Hayes,Dylan Cease,4,2,0,1,0,1,1,.500,.600,1.000
Adam Frazier,Dylan Cease,14,4,0,0,0,0,2,.286,.286,.286
Alexander Canario,Dylan Cease,0,0,0,0,0,0,0,.000,.000,.000
Jared Triolo,Dylan Cease,0,0,0,0,0,0,0,.000,.000,.000
Ketel Marte,Jesus Luzardo,6,3,1,0,0,2,1,.500,.625,.667
Corbin Carroll,Jesus Luzardo,3,1,0,0,0,0,0,.333,.333,.333
Randal Grichuk,Jesus Luzardo,3,1,0,0,0,0,0,.333,.333,.333
Eugenio Suarez,Jesus Luzardo,5,1,0,0,0,1,1,.200,.333,.200
Josh Naylor,Jesus Luzardo,2,2,0,0,0,0,0,1.000,1.000,1.000
Gabriel Moreno,Jesus Luzardo,2,1,0,0,0,1,0,.500,.667,.500
Lourdes Gurriel,Jesus Luzardo,3,1,0,0,0,0,1,.333,.333,.333
Alek Thomas,Jesus Luzardo,1,0,0,0,0,0,0,.000,.000,.000
Geraldo Perdomo,Jesus Luzardo,1,0,0,0,0,0,1,.000,.000,.000
Bryson Stott,Merrill Kelly,5,1,0,1,0,0,0,.200,.200,.600
Trea Turner,Merrill Kelly,24,10,3,0,0,3,3,.417,.481,.542
Bryce Harper,Merrill Kelly,6,1,0,0,0,2,0,.167,.375,.167
Kyle Schwarber,Merrill Kelly,9,1,0,0,0,2,4,.111,.273,.111
Nick Castellanos,Merrill Kelly,5,1,1,0,0,0,2,.200,.200,.400
Max Kepler,Merrill Kelly,6,1,0,0,1,0,0,.167,.167,.667
J.T. Realmuto,Merrill Kelly,11,3,1,0,1,0,1,.273,.273,.636
Alec Bohm,Merrill Kelly,2,1,1,0,0,0,1,.500,.500,1.000
Cal Stevenson,Merrill Kelly,2,0,0,0,0,0,1,.000,.000,.000
Jonathan India,Dean Kremer,7,2,0,0,1,1,0,.286,.375,.714
Bobby Witt,Dean Kremer,11,4,0,0,1,1,0,.364,.417,.636
Vinnie Pasquantino,Dean Kremer,7,2,0,0,1,2,0,.286,.444,.714
Maikel Garcia,Dean Kremer,8,2,1,0,0,0,2,.250,.250,.375
Michael Massey,Dean Kremer,4,2,1,0,0,0,1,.500,.500,.750
Mark Canha,Dean Kremer,0,0,0,0,0,0,0,.000,.000,.000
Drew Waters,Dean Kremer,0,0,0,0,0,0,0,.000,.000,.000
Freddy Fermin,Dean Kremer,0,0,0,0,0,0,0,.000,.000,.000
Kyle Isbel,Dean Kremer,6,1,0,0,0,0,0,.167,.167,.167
Cedric Mullins,Michael Wacha,23,9,2,1,2,0,6,.391,.417,.826
Gunnar Henderson,Michael Wacha,14,1,0,0,0,0,5,.071,.071,.071
Adley Rutschman,Michael Wacha,12,3,1,0,1,1,4,.250,.308,.583
Ryan O'Hearn,Michael Wacha,7,1,0,0,1,1,2,.143,.250,.571
Ryan Mountcastle,Michael Wacha,22,10,0,1,3,1,4,.455,.478,.955
Jackson Holliday,Michael Wacha,2,1,0,1,0,0,0,.500,.500,1.500
Ramon Urias,Michael Wacha,16,5,1,1,1,0,1,.313,.313,.688
Heston Kjerstad,Michael Wacha,2,0,0,0,0,0,0,.000,.000,.000
Ramon Laureano,Michael Wacha,2,0,0,0,0,0,1,.000,.000,.000
Chandler Simpson,Max Fried,3,1,0,0,0,0,0,.333,.333,.333
Yandy Diaz,Max Fried,8,2,0,0,0,1,1,.250,.333,.250
Junior Caminero,Max Fried,3,0,0,0,0,0,0,.000,.000,.000
Jonathan Aranda,Max Fried,2,0,0,0,0,1,0,.000,.333,.000
Christopher Morel,Max Fried,6,0,0,0,0,0,1,.000,.000,.000
Jose Caballero,Max Fried,3,0,0,0,0,0,0,.000,.000,.000
Kameron Misner,Max Fried,0,0,0,0,0,0,0,.000,.000,.000
Curtis Mead,Max Fried,2,0,0,0,0,0,1,.000,.333,.000
Danny Jansen,Max Fried,6,0,0,0,0,1,3,.000,.143,.000
Trent Grisham,Ryan Pepiot,8,1,0,0,1,0,3,.125,.125,.500
Aaron Judge,Ryan Pepiot,6,2,0,0,0,0,1,.333,.333,.333
Ben Rice,Ryan Pepiot,3,0,0,0,0,0,1,.000,.000,.000
Paul Goldschmidt,Ryan Pepiot,3,0,0,0,0,0,2,.000,.000,.000
Cody Bellinger,Ryan Pepiot,3,1,0,0,1,0,0,.333,.333,1.333
Anthony Volpe,Ryan Pepiot,4,2,1,0,0,1,1,.500,.600,.750
Austin Wells,Ryan Pepiot,5,0,0,0,0,1,1,.000,.167,.000
Oswaldo Cabrera,Ryan Pepiot,2,1,1,0,0,0,1,.500,.500,1.000
Jorbit Vivas,Ryan Pepiot,0,0,0,0,0,0,0,.000,.000,.000
Steven Kwan,Chris Bassitt,3,1,0,0,0,0,0,.333,.333,.333
Gabriel Arias,Chris Bassitt,3,0,0,0,0,0,1,.000,.000,.000
Jose Ramirez,Chris Bassitt,8,1,1,0,0,3,3,.125,.364,.250
Kyle Manzardo,Chris Bassitt,0,0,0,0,0,0,0,.000,.000,.000
Carlos Santana,Chris Bassitt,11,3,1,0,2,3,2,.273,.429,.909
Bo Naylor,Chris Bassitt,1,1,0,0,1,1,0,1.000,1.000,4.000
Angel Martinez,Chris Bassitt,0,0,0,0,0,0,0,.000,.000,.000
Jhonkensy Noel,Chris Bassitt,0,0,0,0,0,0,0,.000,.000,.000
Brayan Rocchio,Chris Bassitt,0,0,0,0,0,0,0,.000,.000,.000
Bo Bichette,Logan Allen,3,1,0,0,0,1,0,.333,.500,.333
Vladimir Guerrero,Logan Allen,6,1,0,0,0,1,1,.167,.286,.167
Anthony Santander,Logan Allen,5,2,0,0,0,0,2,.400,.400,.400
George Springer,Logan Allen,6,2,0,0,1,1,2,.333,.429,.833
Alejandro Kirk,Logan Allen,1,0,0,0,0,1,0,.000,.500,.000
Addison Barger,Logan Allen,0,0,0,0,0,0,0,.000,.000,.000
Ernie Clement,Logan Allen,2,2,2,0,0,0,0,1.000,1.000,2.000
Myles Straw,Logan Allen,0,0,0,0,0,0,0,.000,.000,.000
Andres Gimenez,Logan Allen,0,0,0,0,0,0,0,.000,.000,.000
Trevor Larnach,Brayan Bello,0,0,0,0,0,0,0,.000,.000,.000
Byron Buxton,Brayan Bello,0,0,0,0,0,0,0,.000,.000,.000
Brooks Lee,Brayan Bello,0,0,0,0,0,0,0,.000,.000,.000
Carlos Correa,Brayan Bello,2,0,0,0,0,1,1,.000,.333,.000
Ty France,Brayan Bello,8,2,2,0,0,0,3,.250,.250,.500
Edouard Julien,Brayan Bello,0,0,0,0,0,0,0,.000,.000,.000
Ryan Jeffers,Brayan Bello,0,0,0,0,0,0,0,.000,.000,.000
Mickey Gasper,Brayan Bello,0,0,0,0,0,0,0,.000,.000,.000
Harrison Bader,Brayan Bello,5,1,0,0,0,0,2,.200,.200,.200
Jarren Duran,Joe Ryan,9,2,2,0,0,0,3,.222,.222,.444
Rafael Devers,Joe Ryan,15,2,0,0,0,0,4,.133,.133,.133
Alex Bregman,Joe Ryan,12,6,3,0,1,2,0,.500,.571,1.000
Wilyer Abreu,Joe Ryan,3,0,0,0,0,0,1,.000,.000,.000
Trevor Story,Joe Ryan,5,2,0,0,0,0,3,.400,.400,.400
Triston Casas,Joe Ryan,5,0,0,0,0,1,2,.000,.167,.000
Connor Wong,Joe Ryan,3,0,0,0,0,0,3,.000,.000,.000
David Hamilton,Joe Ryan,3,1,0,0,0,1,0,.333,.500,.333
Ceddanne Rafaela,Joe Ryan,2,1,0,0,1,0,1,.500,.500,2.000
Jacob Wilson,Valente Bellozo,0,0,0,0,0,0,0,.000,.000,.000
Tyler Soderstrom,Valente Bellozo,0,0,0,0,0,0,0,.000,.000,.000
Brent Rooker,Valente Bellozo,0,0,0,0,0,0,0,.000,.000,.000
Shea Langeliers,Valente Bellozo,0,0,0,0,0,0,0,.000,.000,.000
JJ Bleday,Valente Bellozo,0,0,0,0,0,0,0,.000,.000,.000
Seth Brown,Valente Bellozo,0,0,0,0,0,0,0,.000,.000,.000
Luis Urias,Valente Bellozo,0,0,0,0,0,0,0,.000,.000,.000
Nick Kurtz,Valente Bellozo,0,0,0,0,0,0,0,.000,.000,.000
Gio Urshela,Valente Bellozo,2,1,0,0,0,0,0,.500,.500,.500
Xavier Edwards,Gunnar Hoglund,0,0,0,0,0,0,0,.000,.000,.000
Kyle Stowers,Gunnar Hoglund,0,0,0,0,0,0,0,.000,.000,.000
Agustin Ramirez,Gunnar Hoglund,0,0,0,0,0,0,0,.000,.000,.000
Eric Wagaman,Gunnar Hoglund,0,0,0,0,0,0,0,.000,.000,.000
Matt Mervis,Gunnar Hoglund,0,0,0,0,0,0,0,.000,.000,.000
Connor Norby,Gunnar Hoglund,0,0,0,0,0,0,0,.000,.000,.000
Otto Lopez,Gunnar Hoglund,0,0,0,0,0,0,0,.000,.000,.000
Liam Hicks,Gunnar Hoglund,0,0,0,0,0,0,0,.000,.000,.000
Dane Myers,Gunnar Hoglund,0,0,0,0,0,0,0,.000,.000,.000
Shohei Ohtani,Grant Holmes,2,0,0,0,0,1,2,.000,.333,.000
Mookie Betts,Grant Holmes,2,1,0,0,0,0,0,.500,.500,.500
Freddie Freeman,Grant Holmes,0,0,0,0,0,0,0,.000,.000,.000
Teoscar Hernandez,Grant Holmes,1,1,0,0,1,1,0,1.000,1.000,4.000
Will Smith,Grant Holmes,1,0,0,0,0,1,1,.000,.500,.000
Max Muncy,Grant Holmes,3,1,0,0,0,0,0,.333,.333,.333
Andy Pages,Grant Holmes,2,0,0,0,0,0,0,.000,.000,.000
Michael Conforto,Grant Holmes,3,3,1,0,0,3,0,1.000,1.000,1.333
Miguel Rojas,Grant Holmes,1,1,0,0,0,0,0,1.000,1.000,1.000
Alex Verdugo,Yoshinobu Yamamoto,3,0,0,0,0,0,1,.000,.000,.000
Austin Riley,Yoshinobu Yamamoto,0,0,0,0,0,0,0,.000,.000,.000
Marcell Ozuna,Yoshinobu Yamamoto,2,0,0,0,0,0,0,.000,.000,.000
Matt Olson,Yoshinobu Yamamoto,1,0,0,0,0,1,0,.000,.500,.000
Sean Murphy,Yoshinobu Yamamoto,2,1,1,0,0,0,1,.500,.500,1.000
Ozzie Albies,Yoshinobu Yamamoto,0,0,0,0,0,0,0,.000,.000,.000
Michael Harris,Yoshinobu Yamamoto,1,1,0,0,0,1,0,1.000,1.000,1.000
Eli White,Yoshinobu Yamamoto,0,0,0,0,0,0,0,.000,.000,.000
Nick Allen,Yoshinobu Yamamoto,0,0,0,0,0,0,0,.000,.000,.000
Jeremy Pena,Jonathan Cannon,4,0,0,0,0,0,1,.000,.000,.000
Jose Altuve,Jonathan Cannon,4,0,0,0,0,0,2,.000,.000,.000
Yordan Alvarez,Jonathan Cannon,0,0,0,0,0,0,0,.000,.000,.000
Isaac Paredes,Jonathan Cannon,3,0,0,0,0,0,0,.000,.000,.000
Christian Walker,Jonathan Cannon,0,0,0,0,0,0,0,.000,.000,.000
Yainer Diaz,Jonathan Cannon,4,0,0,0,0,0,0,.000,.000,.000
Brendan Rodgers,Jonathan Cannon,1,1,0,0,1,1,0,1.000,1.000,4.000
Cam Smith,Jonathan Cannon,0,0,0,0,0,0,0,.000,.000,.000
Jake Meyers,Jonathan Cannon,3,0,0,0,0,0,0,.000,.000,.000
Chase Meidroth,Framber Valdez,0,0,0,0,0,0,0,.000,.000,.000
Luis Robert,Framber Valdez,12,2,0,0,0,0,5,.167,.167,.167
Miguel Vargas,Framber Valdez,5,1,0,0,0,0,1,.200,.200,.200
Edgar Quero,Framber Valdez,0,0,0,0,0,0,0,.000,.000,.000
Andrew Vaughn,Framber Valdez,18,6,0,0,1,2,5,.333,.429,.500
Lenyn Sosa,Framber Valdez,5,1,0,0,0,0,0,.200,.200,.200
Bobby Dalbec,Framber Valdez,6,0,0,0,0,0,4,.000,.000,.000
Brooks Baldwin,Framber Valdez,0,0,0,0,0,0,0,.000,.000,.000
Michael Taylor,Framber Valdez,7,2,1,0,0,0,0,.286,.286,.429
J.P. Crawford,Jack Leiter,4,1,0,0,0,1,2,.250,.400,.250
Jorge Polanco,Jack Leiter,5,1,0,0,0,0,0,.200,.200,.200
Julio Rodriguez,Jack Leiter,5,2,0,0,2,0,3,.400,.400,1.600
Cal Raleigh,Jack Leiter,2,0,0,0,0,2,0,.000,.500,.000
Randy Arozarena,Jack Leiter,4,1,0,0,0,0,2,.250,.250,.250
Rowdy Tellez,Jack Leiter,0,0,0,0,0,0,0,.000,.000,.000
Miles Mastrobuoni,Jack Leiter,0,0,0,0,0,0,0,.000,.000,.000
Ben Williamson,Jack Leiter,0,0,0,0,0,0,0,.000,.000,.000
Rhylan Thomas,Jack Leiter,0,0,0,0,0,0,0,.000,.000,.000
Josh Smith,Bryan Woo,6,2,0,0,0,0,0,.333,.333,.333
Wyatt Langford,Bryan Woo,3,1,0,0,1,0,1,.333,.333,1.333
Joc Pederson,Bryan Woo,6,0,0,0,0,0,2,.000,.000,.000
Adolis Garcia,Bryan Woo,10,3,0,0,1,2,5,.300,.417,.600
Marcus Semien,Bryan Woo,11,5,1,0,1,1,2,.455,.500,.818
Jonah Heim,Bryan Woo,11,3,1,0,0,0,4,.273,.273,.364
Josh Jung,Bryan Woo,9,2,0,0,0,0,3,.222,.222,.222
Blaine Crim,Bryan Woo,0,0,0,0,0,0,0,.000,.000,.000
Leody Taveras,Bryan Woo,9,2,0,0,1,1,2,.222,.300,.556
Ian Happ,Quinn Priester,1,1,0,0,0,1,0,1.000,1.000,1.000
Kyle Tucker,Quinn Priester,0,0,0,0,0,0,0,.000,.000,.000
Seiya Suzuki,Quinn Priester,3,2,0,0,1,0,0,.667,.667,1.667
Michael Busch,Quinn Priester,0,0,0,0,0,0,0,.000,.000,.000
Carson Kelly,Quinn Priester,0,0,0,0,0,0,0,.000,.000,.000
Nico Hoerner,Quinn Priester,2,0,0,0,0,0,0,.000,.000,.000
Pete Crow-Armstrong,Quinn Priester,0,0,0,0,0,0,0,.000,.000,.000
Dansby Swanson,Quinn Priester,3,0,0,0,0,0,0,.000,.000,.000
Jon Berti,Quinn Priester,2,2,0,0,0,1,0,1.000,1.000,1.000
Brice Turang,Ben Brown,3,0,0,0,0,0,3,.000,.000,.000
Jackson Chourio,Ben Brown,2,0,0,0,0,0,1,.000,.000,.000
Christian Yelich,Ben Brown,3,0,0,0,0,0,2,.000,.000,.000
William Contreras,Ben Brown,3,0,0,0,0,0,1,.000,.000,.000
Sal Frelick,Ben Brown,1,0,0,0,0,1,0,.000,.500,.000
Rhys Hoskins,Ben Brown,0,0,0,0,0,0,0,.000,.000,.000
Jake Bauers,Ben Brown,2,0,0,0,0,1,2,.000,.333,.000
Joey Ortiz,Ben Brown,2,0,0,0,0,0,0,.000,.000,.000
Caleb Durbin,Ben Brown,0,0,0,0,0,0,0,.000,.000,.000
Francisco Lindor,Sonny Gray,26,7,0,0,3,3,8,.269,.333,.615
Juan Soto,Sonny Gray,10,5,0,0,1,4,2,.500,.600,.800
Pete Alonso,Sonny Gray,8,2,0,0,1,1,1,.250,.333,.625
Brandon Nimmo,Sonny Gray,11,3,0,0,0,0,4,.273,.333,.273
Jesse Winker,Sonny Gray,10,3,1,0,0,3,3,.300,.462,.400
Mark Vientos,Sonny Gray,0,0,0,0,0,0,0,.000,.000,.000
Jeff McNeil,Sonny Gray,6,2,1,0,0,0,1,.333,.333,.500
Francisco Alvarez,Sonny Gray,0,0,0,0,0,0,0,.000,.000,.000
Luisangel Acuna,Sonny Gray,3,1,0,0,0,0,0,.333,.333,.333
Lars Nootbaar,Clay Holmes,4,0,0,0,0,1,0,.000,.200,.000
Masyn Winn,Clay Holmes,0,0,0,0,0,0,0,.000,.000,.000
Brendan Donovan,Clay Holmes,3,1,1,0,0,0,1,.333,.333,.667
Nolan Arenado,Clay Holmes,4,2,0,0,0,1,0,.500,.600,.500
Willson Contreras,Clay Holmes,8,3,0,0,0,0,2,.375,.375,.375
Alec Burleson,Clay Holmes,3,1,0,0,0,0,1,.333,.333,.333
Nolan Gorman,Clay Holmes,3,0,0,0,0,0,1,.000,.000,.000
Pedro Pages,Clay Holmes,1,0,0,0,0,1,0,.000,.500,.000
Victor Scott,Clay Holmes,2,0,0,0,0,0,1,.000,.000,.000
Justyn-Henry Malloy,Jose Soriano,0,0,0,0,0,0,0,.000,.000,.000
Spencer Torkelson,Jose Soriano,0,0,0,0,0,0,0,.000,.000,.000
Riley Greene,Jose Soriano,0,0,0,0,0,0,0,.000,.000,.000
Andy Ibanez,Jose Soriano,0,0,0,0,0,0,0,.000,.000,.000
Kerry Carpenter,Jose Soriano,0,0,0,0,0,0,0,.000,.000,.000
Colt Keith,Jose Soriano,0,0,0,0,0,0,0,.000,.000,.000
Dillon Dingler,Jose Soriano,0,0,0,0,0,0,0,.000,.000,.000
Javier Baez,Jose Soriano,2,0,0,0,0,0,1,.000,.000,.000
Trey Sweeney,Jose Soriano,0,0,0,0,0,0,0,.000,.000,.000
Taylor Ward,Tarik Skubal,0,0,0,0,0,0,0,.000,.000,.000
Zach Neto,Tarik Skubal,3,0,0,0,0,0,1,.000,.000,.000
Luis Rengifo,Tarik Skubal,0,0,0,0,0,0,0,.000,.000,.000
Jorge Soler,Tarik Skubal,4,2,0,0,2,2,1,.500,.714,2.000
Logan O'Hoppe,Tarik Skubal,3,0,0,0,0,0,2,.000,.000,.000
Nolan Schanuel,Tarik Skubal,0,0,0,0,0,0,0,.000,.000,.000
Gustavo Campero,Tarik Skubal,0,0,0,0,0,0,0,.000,.000,.000
Kyren Paris,Tarik Skubal,3,1,0,0,0,0,1,.333,.333,.333
Jo Adell,Tarik Skubal,3,1,0,0,0,0,1,.333,.333,.333
Brenton Doyle,Robbie Ray,0,0,0,0,0,0,0,.000,.000,.000
Jordan Beck,Robbie Ray,0,0,0,0,0,0,0,.000,.000,.000
Ryan McMahon,Robbie Ray,3,1,1,0,0,0,2,.333,.333,.667
Hunter Goodman,Robbie Ray,0,0,0,0,0,0,0,.000,.000,.000
Michael Toglia,Robbie Ray,0,0,0,0,0,0,0,.000,.000,.000
Sean Bouchard,Robbie Ray,0,0,0,0,0,0,0,.000,.000,.000
Jacob Stallings,Robbie Ray,0,0,0,0,0,0,0,.000,.000,.000
Alan Trejo,Robbie Ray,0,0,0,0,0,0,0,.000,.000,.000
Adael Amador,Robbie Ray,0,0,0,0,0,0,0,.000,.000,.000
Mike Yastrzemski,Antonio Senzatela,9,4,2,0,0,0,1,.444,.444,.667
Willy Adames,Antonio Senzatela,7,2,0,0,1,2,0,.286,.444,.714
Jung Hoo Lee,Antonio Senzatela,0,0,0,0,0,0,0,.000,.000,.000
Matt Chapman,Antonio Senzatela,5,3,1,0,0,1,0,.600,.667,.800
Wilmer Flores,Antonio Senzatela,3,0,0,0,0,0,0,.000,.000,.000
Heliot Ramos,Antonio Senzatela,0,0,0,0,0,0,0,.000,.000,.000
LaMonte Wade,Antonio Senzatela,5,0,0,0,0,2,0,.000,.286,.000
Patrick Bailey,Antonio Senzatela,0,0,0,0,0,0,0,.000,.000,.000
Christian Koss,Antonio Senzatela,0,0,0,0,0,0,0,.000,.000,.000
